"c1" "c2" "r1" "r2" "k" "h1" "h2" "ph1" "ph2" "kin.type" "plod"
2010 2010 2 2 0 3 3 0.783 0.783 "up" -0.044
2010 2012 2 2 0 3 5 0.783 0.045 "up" -0.034
2010 2012 2 2 0 3 8 0.783 0.005 "up" -0.014
2010 2010 2 2 0 3 11 0.783 0.014 "up" -0.033
2010 2012 2 2 0 3 3 0.783 0.783 "up" -0.042
2010 2013 2 2 0 3 3 0.783 0.783 "up" -0.028
2010 2012 2 2 0 3 3 0.783 0.783 "up" -0.047
2010 2012 2 2 0 3 5 0.783 0.045 "up" -0.035
2010 2012 2 2 0 3 3 0.783 0.783 "up" -0.031
2010 2012 2 2 0 3 3 0.783 0.783 "up" -0.034
2010 2010 2 2 0 3 3 0.783 0.783 "up" -0.034
2010 2011 2 2 0 3 10 0.783 0.018 "up" -0.03
2010 2011 2 2 0 3 2 0.783 0.009 "up" -0.036
2010 2010 2 2 0 3 9 0.783 0.063 "up" -0.023
2010 2009 2 2 0 3 9 0.783 0.063 "up" -0.029
2010 2009 2 2 0 3 10 0.783 0.018 "up" -0.022
2010 2008 2 2 0 3 3 0.783 0.783 "up" -0.029
2010 2010 2 2 0 3 10 0.783 0.018 "up" -0.023
2010 2011 2 2 0 3 9 0.783 0.063 "up" -0.036
2010 2012 2 2 0 3 3 0.783 0.783 "up" -0.026
2010 2009 2 2 0 3 3 0.783 0.783 "up" -0.028
2010 2011 2 2 0 3 3 0.783 0.783 "up" -0.027
2010 2013 2 2 0 3 9 0.783 0.063 "up" -0.029
2010 2013 2 2 0 3 3 0.783 0.783 "up" -0.04
2010 2014 2 2 0 3 3 0.783 0.783 "up" -0.022
2010 2011 2 2 0 3 9 0.783 0.063 "up" -0.036
2010 2012 2 2 0 3 5 0.783 0.045 "up" -0.032
2010 2013 2 2 0 3 9 0.783 0.063 "up" -0.037
2010 2012 2 2 0 3 5 0.783 0.045 "up" -0.034
2010 2013 2 2 0 3 3 0.783 0.783 "up" -0.024
2010 2009 2 1 0 3 3 0.783 0.783 "up" -0.029
2010 2011 2 1 0 3 3 0.783 0.783 "up" -0.032
2010 2009 2 1 0 3 3 0.783 0.783 "up" -0.039
2010 2011 2 1 0 3 1 0.783 0.018 "up" -0.032
2010 2010 2 1 0 3 3 0.783 0.783 "up" -0.028
2010 2011 2 1 0 3 5 0.783 0.045 "up" -0.02
2010 2012 2 1 0 3 6 0.783 0.036 "up" -0.023
2010 2012 2 1 0 3 6 0.783 0.036 "up" -0.025
2010 2011 2 1 0 3 3 0.783 0.783 "up" -0.018
2010 2011 2 1 0 3 3 0.783 0.783 "up" -0.025
2010 2012 2 1 0 3 3 0.783 0.783 "up" -0.035
2010 2012 2 1 0 3 7 0.783 0.009 "up" -0.025
2010 2011 2 1 0 3 3 0.783 0.783 "up" -0.038
2010 2011 2 1 0 3 3 0.783 0.783 "up" -0.025
2010 2011 2 1 0 3 3 0.783 0.783 "up" -0.038
2010 2010 2 1 0 3 3 0.783 0.783 "up" -0.015
2010 2012 2 1 0 3 3 0.783 0.783 "up" -0.027
2010 2012 2 1 0 3 3 0.783 0.783 "up" -0.034
2010 2012 2 1 0 3 3 0.783 0.783 "up" -0.029
2010 2013 2 1 0 3 3 0.783 0.783 "up" -0.04
2010 2012 2 1 0 3 6 0.783 0.036 "up" -0.04
2010 2010 2 1 0 3 3 0.783 0.783 "up" -0.041
2010 2013 2 1 0 3 3 0.783 0.783 "up" -0.023
2010 2010 2 1 0 3 3 0.783 0.783 "up" -0.033
2010 2010 2 1 0 3 3 0.783 0.783 "up" -0.02
2010 2011 2 1 0 3 3 0.783 0.783 "up" -0.034
2010 2007 2 1 0 3 3 0.783 0.783 "up" -0.022
2010 2011 2 1 0 3 3 0.783 0.783 "up" -0.025
2010 2007 2 1 0 3 3 0.783 0.783 "up" -0.041
2010 2010 2 1 0 3 3 0.783 0.783 "up" -0.04
2010 2007 2 1 0 3 3 0.783 0.783 "up" -0.031
2010 2010 2 1 0 3 3 0.783 0.783 "up" -0.041
2010 2013 2 1 0 3 3 0.783 0.783 "up" -0.045
2010 2010 2 1 0 3 3 0.783 0.783 "up" 0.003
2010 2008 2 1 0 3 3 0.783 0.783 "up" -0.036
2010 2008 2 1 0 3 3 0.783 0.783 "up" -0.017
2010 2008 2 1 0 3 3 0.783 0.783 "up" -0.036
2010 2009 2 1 0 3 3 0.783 0.783 "up" -0.029
2010 2005 2 1 0 3 3 0.783 0.783 "up" -0.024
2010 2006 2 1 0 3 3 0.783 0.783 "up" -0.03
2010 2011 2 1 0 3 3 0.783 0.783 "up" -0.036
2010 2008 2 1 0 3 3 0.783 0.783 "up" -0.024
2010 2008 2 1 0 3 3 0.783 0.783 "up" -0.037
2010 2013 2 1 0 3 3 0.783 0.783 "up" -0.035
2010 2008 2 1 0 3 3 0.783 0.783 "up" -0.025
2010 2011 2 1 0 3 3 0.783 0.783 "up" -0.023
2010 2013 2 1 0 3 3 0.783 0.783 "up" -0.037
2010 2004 2 1 0 3 3 0.783 0.783 "up" -0.029
2010 2006 2 1 0 3 3 0.783 0.783 "up" -0.027
2010 2013 2 1 0 3 3 0.783 0.783 "up" -0.036
2010 2008 2 1 0 3 3 0.783 0.783 "up" -0.038
2010 2013 2 1 0 3 7 0.783 0.009 "up" -0.023
2010 2010 2 1 0 3 3 0.783 0.783 "up" -0.015
2010 2013 2 1 0 3 3 0.783 0.783 "up" -0.024
2010 2008 2 1 0 3 3 0.783 0.783 "up" -0.026
2010 2010 2 1 0 3 3 0.783 0.783 "up" -0.041
2010 2006 2 1 0 3 3 0.783 0.783 "up" -0.04
2010 2009 2 1 0 3 3 0.783 0.783 "up" -0.029
2010 2005 2 1 0 3 3 0.783 0.783 "up" -0.025
2010 2013 2 1 0 3 3 0.783 0.783 "up" -0.031
2010 2008 2 1 0 3 6 0.783 0.036 "up" -0.037
2010 2007 2 1 0 3 3 0.783 0.783 "up" -0.028
2010 2005 2 1 0 3 3 0.783 0.783 "up" -0.023
2010 2009 2 1 0 3 3 0.783 0.783 "up" -0.029
2010 2007 2 1 0 3 3 0.783 0.783 "up" -0.029
2010 2004 2 1 0 3 3 0.783 0.783 "up" -0.034
2010 2005 2 1 0 3 3 0.783 0.783 "up" -0.035
2010 2013 2 1 0 3 3 0.783 0.783 "up" -0.023
2010 2010 2 1 0 3 3 0.783 0.783 "up" -0.014
2010 2008 2 1 0 3 3 0.783 0.783 "up" -0.033
2010 2003 2 1 0 3 3 0.783 0.783 "up" -0.031
2010 2008 2 1 0 3 1 0.783 0.018 "up" -0.019
2010 2010 2 1 0 3 3 0.783 0.783 "up" -0.018
2010 2012 2 1 0 3 3 0.783 0.783 "up" -0.045
2010 2013 2 1 0 3 3 0.783 0.783 "up" -0.028
2010 2006 2 1 0 3 3 0.783 0.783 "up" -0.026
2010 2011 2 1 0 3 3 0.783 0.783 "up" -0.035
2010 2009 2 1 0 3 3 0.783 0.783 "up" -0.025
2010 2013 2 1 0 3 3 0.783 0.783 "up" -0.057
2010 2009 2 1 0 3 3 0.783 0.783 "up" -0.025
2010 2011 2 1 0 3 3 0.783 0.783 "up" -0.031
2010 2010 2 1 0 3 3 0.783 0.783 "up" -0.033
2010 2005 2 1 0 3 3 0.783 0.783 "up" -0.021
2010 2002 2 1 0 3 3 0.783 0.783 "up" -0.017
2010 2013 2 1 0 3 3 0.783 0.783 "up" -0.017
2010 2011 2 1 0 3 3 0.783 0.783 "up" -0.016
2010 2013 2 1 0 3 3 0.783 0.783 "up" -0.033
2010 2013 2 1 0 3 3 0.783 0.783 "up" -0.026
2010 2010 2 1 0 3 3 0.783 0.783 "up" -0.019
2010 2010 2 1 0 3 3 0.783 0.783 "up" -0.022
2010 2009 2 1 0 3 3 0.783 0.783 "up" -0.026
2010 2009 2 1 0 3 3 0.783 0.783 "up" -0.035
2010 2007 2 1 0 3 3 0.783 0.783 "up" -0.039
2010 2009 2 1 0 3 1 0.783 0.018 "up" -0.019
2010 2012 2 1 0 3 3 0.783 0.783 "up" -0.026
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.03
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.032
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.034
2010 2008 2 1 0 3 3 0.783 0.783 "up" -0.033
2010 2012 2 1 0 3 3 0.783 0.783 "up" -0.03
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.027
2010 2013 2 1 0 3 3 0.783 0.783 "up" -0.024
2010 2010 2 1 0 3 3 0.783 0.783 "up" -0.029
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.028
2010 2008 2 1 0 3 3 0.783 0.783 "up" -0.013
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.014
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.016
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.028
2010 2014 2 1 0 3 6 0.783 0.036 "up" -0.028
2010 2013 2 1 0 3 3 0.783 0.783 "up" -0.04
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.033
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.03
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.033
2010 2014 2 1 0 3 6 0.783 0.036 "up" -0.033
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.018
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.023
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.035
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.03
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.037
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.021
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.027
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.04
2010 2009 2 1 0 3 3 0.783 0.783 "up" -0.022
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.045
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.025
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.03
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.05
2010 2014 2 1 0 3 6 0.783 0.036 "up" -0.039
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.041
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.021
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.029
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.019
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.032
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.036
2010 2006 2 1 0 3 3 0.783 0.783 "up" -0.027
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.035
2010 2014 2 1 0 3 6 0.783 0.036 "up" -0.011
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.03
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.033
2010 2014 2 1 0 3 3 0.783 0.783 "up" -0.029
2005 2009 2 2 0 3 3 0.783 0.783 "up" -0.013
2005 2012 2 2 0 3 3 0.783 0.783 "up" -0.047
2005 2011 2 2 0 3 3 0.783 0.783 "up" -0.008
2005 2007 2 2 0 3 3 0.783 0.783 "up" -0.031
2005 2012 2 2 0 3 3 0.783 0.783 "up" -0.037
2005 2011 2 2 0 3 5 0.783 0.045 "up" -0.027
2005 2012 2 2 0 3 5 0.783 0.045 "up" -0.033
2005 2012 2 2 0 3 11 0.783 0.014 "up" -0.029
2005 2012 2 2 0 3 11 0.783 0.014 "up" -0.04
2005 2011 2 2 0 3 3 0.783 0.783 "up" -0.024
2005 2010 2 2 0 3 3 0.783 0.783 "up" -0.022
2005 2012 2 2 0 3 3 0.783 0.783 "up" -0.023
2005 2012 2 2 0 3 3 0.783 0.783 "up" -0.029
2005 2012 2 2 0 3 9 0.783 0.063 "up" -0.035
2005 2013 2 2 0 3 3 0.783 0.783 "up" -0.045
2005 2012 2 2 0 3 3 0.783 0.783 "up" -0.02
2005 2012 2 2 0 3 3 0.783 0.783 "up" -0.039
2005 2012 2 2 0 3 5 0.783 0.045 "up" -0.028
2005 2013 2 2 0 3 3 0.783 0.783 "up" -0.029
2005 2012 2 2 0 3 9 0.783 0.063 "up" -0.036
2005 2013 2 2 0 3 3 0.783 0.783 "up" -0.023
2005 2012 2 2 0 3 3 0.783 0.783 "up" -0.017
2005 2013 2 2 0 3 3 0.783 0.783 "up" -0.03
2005 2008 2 2 0 3 10 0.783 0.018 "up" -0.031
2005 2007 2 2 0 3 3 0.783 0.783 "up" -0.028
2005 2009 2 2 0 3 9 0.783 0.063 "up" -0.037
2005 2006 2 2 0 3 3 0.783 0.783 "up" -0.033
2005 2006 2 2 0 3 5 0.783 0.045 "up" -0.015
2005 2009 2 2 0 3 1 0.783 0.018 "up" -0.03
2005 2010 2 2 0 3 3 0.783 0.783 "up" -0.033
2005 2010 2 2 0 3 9 0.783 0.063 "up" -0.04
2005 2011 2 2 0 3 9 0.783 0.063 "up" -0.021
2005 2008 2 2 0 3 3 0.783 0.783 "up" -0.029
2005 2007 2 2 0 3 3 0.783 0.783 "up" -0.028
2005 2007 2 2 0 3 9 0.783 0.063 "up" -0.043
2005 2011 2 2 0 3 3 0.783 0.783 "up" -0.053
2005 2011 2 2 0 3 3 0.783 0.783 "up" -0.02
2005 2011 2 2 0 3 2 0.783 0.009 "up" -0.039
2005 2010 2 2 0 3 5 0.783 0.045 "up" -0.029
2005 2010 2 2 0 3 3 0.783 0.783 "up" -0.023
2005 2011 2 2 0 3 3 0.783 0.783 "up" -0.025
2005 2006 2 2 0 3 3 0.783 0.783 "up" -0.026
2005 2011 2 2 0 3 3 0.783 0.783 "up" -0.032
2005 2012 2 2 0 3 3 0.783 0.783 "up" -0.018
2005 2011 2 2 0 3 9 0.783 0.063 "up" -0.034
2005 2011 2 2 0 3 9 0.783 0.063 "up" -0.026
2005 2013 2 2 0 3 3 0.783 0.783 "up" -0.038
2005 2012 2 2 0 3 3 0.783 0.783 "up" -0.031
2005 2009 2 2 0 3 3 0.783 0.783 "up" -0.02
2005 2010 2 2 0 3 3 0.783 0.783 "up" -0.026
2005 2012 2 2 0 3 5 0.783 0.045 "up" -0.034
2005 2012 2 2 0 3 8 0.783 0.005 "up" -0.014
2005 2010 2 2 0 3 11 0.783 0.014 "up" -0.025
2005 2012 2 2 0 3 3 0.783 0.783 "up" -0.037
2005 2013 2 2 0 3 3 0.783 0.783 "up" -0.034
2005 2012 2 2 0 3 3 0.783 0.783 "up" -0.037
2005 2012 2 2 0 3 5 0.783 0.045 "up" -0.04
2005 2012 2 2 0 3 3 0.783 0.783 "up" -0.023
2005 2012 2 2 0 3 3 0.783 0.783 "up" -0.024
2005 2010 2 2 0 3 3 0.783 0.783 "up" -0.026
2005 2011 2 2 0 3 10 0.783 0.018 "up" -0.023
2005 2011 2 2 0 3 2 0.783 0.009 "up" -0.026
2005 2010 2 2 0 3 9 0.783 0.063 "up" -0.025
2005 2009 2 2 0 3 9 0.783 0.063 "up" -0.021
2005 2009 2 2 1 3 10 0.783 0.018 "hsp" 0.021
2005 2008 2 2 0 3 3 0.783 0.783 "up" -0.024
2005 2010 2 2 0 3 10 0.783 0.018 "up" -0.035
2005 2011 2 2 0 3 9 0.783 0.063 "up" -0.026
2005 2012 2 2 0 3 3 0.783 0.783 "up" -0.039
2005 2009 2 2 0 3 3 0.783 0.783 "up" -0.027
2005 2011 2 2 0 3 3 0.783 0.783 "up" -0.015
2005 2013 2 2 0 3 9 0.783 0.063 "up" -0.031
2005 2013 2 2 0 3 3 0.783 0.783 "up" -0.041
2005 2014 2 2 0 3 3 0.783 0.783 "up" -0.049
2005 2011 2 2 0 3 9 0.783 0.063 "up" -0.033
2005 2012 2 2 0 3 5 0.783 0.045 "up" -0.031
2005 2013 2 2 0 3 9 0.783 0.063 "up" -0.034
2005 2012 2 2 0 3 5 0.783 0.045 "up" -0.033
2005 2013 2 2 0 3 3 0.783 0.783 "up" -0.034
2005 2009 2 1 0 3 3 0.783 0.783 "up" -0.033
2005 2011 2 1 0 3 3 0.783 0.783 "up" -0.03
2005 2009 2 1 0 3 3 0.783 0.783 "up" -0.035
2005 2011 2 1 0 3 1 0.783 0.018 "up" -0.027
2005 2010 2 1 0 3 3 0.783 0.783 "up" -0.033
2005 2011 2 1 0 3 5 0.783 0.045 "up" -0.026
2005 2012 2 1 0 3 6 0.783 0.036 "up" -0.024
2005 2012 2 1 0 3 6 0.783 0.036 "up" -0.034
2005 2011 2 1 0 3 3 0.783 0.783 "up" -0.026
2005 2011 2 1 0 3 3 0.783 0.783 "up" -0.027
2005 2012 2 1 0 3 3 0.783 0.783 "up" -0.032
2005 2012 2 1 0 3 7 0.783 0.009 "up" -0.01
2005 2011 2 1 0 3 3 0.783 0.783 "up" -0.029
2005 2011 2 1 0 3 3 0.783 0.783 "up" -0.026
2005 2011 2 1 0 3 3 0.783 0.783 "up" -0.031
2005 2010 2 1 0 3 3 0.783 0.783 "up" -0.03
2005 2012 2 1 0 3 3 0.783 0.783 "up" -0.026
2005 2012 2 1 0 3 3 0.783 0.783 "up" -0.041
2005 2012 2 1 0 3 3 0.783 0.783 "up" -0.043
2005 2013 2 1 0 3 3 0.783 0.783 "up" -0.026
2005 2012 2 1 0 3 6 0.783 0.036 "up" -0.04
2005 2010 2 1 0 3 3 0.783 0.783 "up" -0.029
2005 2013 2 1 0 3 3 0.783 0.783 "up" -0.031
2005 2010 2 1 0 3 3 0.783 0.783 "up" -0.01
2005 2010 2 1 0 3 3 0.783 0.783 "up" -0.034
2005 2011 2 1 0 3 3 0.783 0.783 "up" -0.019
2005 2007 2 1 0 3 3 0.783 0.783 "up" -0.022
2005 2011 2 1 0 3 3 0.783 0.783 "up" -0.03
2005 2007 2 1 0 3 3 0.783 0.783 "up" -0.037
2005 2010 2 1 0 3 3 0.783 0.783 "up" -0.015
2005 2007 2 1 0 3 3 0.783 0.783 "up" -0.031
2005 2010 2 1 0 3 3 0.783 0.783 "up" -0.017
2005 2013 2 1 0 3 3 0.783 0.783 "up" -0.023
2005 2010 2 1 0 3 3 0.783 0.783 "up" -0.012
2005 2008 2 1 0 3 3 0.783 0.783 "up" -0.021
2005 2008 2 1 0 3 3 0.783 0.783 "up" -0.025
2005 2008 2 1 0 3 3 0.783 0.783 "up" -0.014
2005 2009 2 1 0 3 3 0.783 0.783 "up" -0.016
2005 2005 2 1 0 3 3 0.783 0.783 "up" -0.035
2005 2006 2 1 0 3 3 0.783 0.783 "up" -0.012
2005 2011 2 1 0 3 3 0.783 0.783 "up" -0.034
2005 2008 2 1 0 3 3 0.783 0.783 "up" -0.028
2005 2008 2 1 0 3 3 0.783 0.783 "up" -0.025
2005 2013 2 1 0 3 3 0.783 0.783 "up" -0.019
2005 2008 2 1 0 3 3 0.783 0.783 "up" -0.029
2005 2011 2 1 0 3 3 0.783 0.783 "up" -0.037
2005 2013 2 1 0 3 3 0.783 0.783 "up" -0.028
2005 2004 2 1 0 3 3 0.783 0.783 "up" -0.032
2005 2006 2 1 0 3 3 0.783 0.783 "up" -0.028
2005 2013 2 1 0 3 3 0.783 0.783 "up" -0.028
2005 2008 2 1 0 3 3 0.783 0.783 "up" -0.024
2005 2013 2 1 0 3 7 0.783 0.009 "up" -0.034
2005 2010 2 1 0 3 3 0.783 0.783 "up" -0.045
2005 2013 2 1 0 3 3 0.783 0.783 "up" -0.041
2005 2008 2 1 0 3 3 0.783 0.783 "up" -0.016
2005 2010 2 1 0 3 3 0.783 0.783 "up" -0.042
2005 2006 2 1 0 3 3 0.783 0.783 "up" -0.026
2005 2009 2 1 0 3 3 0.783 0.783 "up" -0.04
2005 2005 2 1 0 3 3 0.783 0.783 "up" -0.036
2005 2013 2 1 0 3 3 0.783 0.783 "up" -0.032
2005 2008 2 1 0 3 6 0.783 0.036 "up" -0.023
2005 2007 2 1 0 3 3 0.783 0.783 "up" -0.022
2005 2005 2 1 0 3 3 0.783 0.783 "up" -0.037
2005 2009 2 1 0 3 3 0.783 0.783 "up" -0.024
2005 2007 2 1 0 3 3 0.783 0.783 "up" -0.02
2005 2004 2 1 0 3 3 0.783 0.783 "up" -0.027
2005 2005 2 1 0 3 3 0.783 0.783 "up" -0.029
2005 2013 2 1 0 3 3 0.783 0.783 "up" -0.018
2005 2010 2 1 0 3 3 0.783 0.783 "up" -0.019
2005 2008 2 1 0 3 3 0.783 0.783 "up" -0.022
2005 2003 2 1 0 3 3 0.783 0.783 "up" -0.022
2005 2008 2 1 0 3 1 0.783 0.018 "up" -0.016
2005 2010 2 1 0 3 3 0.783 0.783 "up" -0.025
2005 2012 2 1 0 3 3 0.783 0.783 "up" -0.046
2005 2013 2 1 0 3 3 0.783 0.783 "up" -0.045
2005 2006 2 1 0 3 3 0.783 0.783 "up" -0.033
2005 2011 2 1 0 3 3 0.783 0.783 "up" -0.041
2005 2009 2 1 0 3 3 0.783 0.783 "up" -0.031
2005 2013 2 1 0 3 3 0.783 0.783 "up" -0.038
2005 2009 2 1 0 3 3 0.783 0.783 "up" -0.031
2005 2011 2 1 0 3 3 0.783 0.783 "up" -0.025
2005 2010 2 1 0 3 3 0.783 0.783 "up" -0.023
2005 2005 2 1 0 3 3 0.783 0.783 "up" -0.031
2005 2002 2 1 0 3 3 0.783 0.783 "up" -0.022
2005 2013 2 1 0 3 3 0.783 0.783 "up" -0.029
2005 2011 2 1 0 3 3 0.783 0.783 "up" -0.029
2005 2013 2 1 0 3 3 0.783 0.783 "up" -0.037
2005 2013 2 1 0 3 3 0.783 0.783 "up" -0.031
2005 2010 2 1 0 3 3 0.783 0.783 "up" -0.016
2005 2010 2 1 0 3 3 0.783 0.783 "up" -0.021
2005 2009 2 1 0 3 3 0.783 0.783 "up" -0.014
2005 2009 2 1 0 3 3 0.783 0.783 "up" -0.008
2005 2007 2 1 0 3 3 0.783 0.783 "up" -0.028
2005 2009 2 1 0 3 1 0.783 0.018 "up" -0.024
2005 2012 2 1 0 3 3 0.783 0.783 "up" -0.05
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.04
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.03
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.013
2005 2008 2 1 0 3 3 0.783 0.783 "up" -0.036
2005 2012 2 1 0 3 3 0.783 0.783 "up" -0.029
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.023
2005 2013 2 1 0 3 3 0.783 0.783 "up" -0.034
2005 2010 2 1 0 3 3 0.783 0.783 "up" -0.036
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.034
2005 2008 2 1 0 3 3 0.783 0.783 "up" -0.023
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.037
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.01
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.025
2005 2014 2 1 0 3 6 0.783 0.036 "up" -0.035
2005 2013 2 1 0 3 3 0.783 0.783 "up" -0.026
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.035
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.039
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.027
2005 2014 2 1 0 3 6 0.783 0.036 "up" -0.024
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.026
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.028
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.034
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.035
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.025
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.015
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.025
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.027
2005 2009 2 1 0 3 3 0.783 0.783 "up" -0.008
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.029
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.029
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.033
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.03
2005 2014 2 1 0 3 6 0.783 0.036 "up" -0.049
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.04
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.036
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.034
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.04
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.037
2005 2014 2 1 0 3 3 0.783 0.783 "up" -0.044
2005 2006 2 1 0 3 3 0.783 0.783 "up" -0.024
